date,ticker,dividend
2021-03-15,NVT,0.71
2021-06-15,NVT,0.82
2021-09-15,NVT,0.65
2021-12-15,NVT,0.72
2022-03-15,NVT,0.8
2022-06-15,NVT,0.77
2022-09-15,NVT,0.8
2022-12-15,NVT,0.79
2023-03-15,NVT,0.79
2023-06-15,NVT,0.83
2023-09-15,NVT,0.82
2023-12-15,NVT,1.0
2024-03-15,NVT,1.02
2024-06-17,NVT,1.05
2024-09-16,NVT,1.17
2024-12-16,NVT,1.09
2025-03-17,NVT,1.5
2025-06-16,NVT,1.7
2025-09-15,NVT,1.91
2025-12-15,NVT,2.6
2021-03-15,ADS,0.68
2021-06-15,ADS,0.68
2021-09-15,ADS,0.81
2021-12-15,ADS,0.85
2022-03-15,ADS,1.04
2022-06-15,ADS,1.21
2022-09-15,ADS,1.11
2022-12-15,ADS,1.14
2023-03-15,ADS,1.25
2023-06-15,ADS,1.57
2023-09-15,ADS,1.55
2023-12-15,ADS,2.09
2024-03-15,ADS,2.02
2024-06-17,ADS,1.78
2024-09-16,ADS,1.9
2024-12-16,ADS,2.39
2025-03-17,ADS,2.56
2025-06-16,ADS,3.93
2025-09-15,ADS,3.61
2025-12-15,ADS,3.41
2021-03-15,QNT,0.36
2021-06-15,QNT,0.35
2021-09-15,QNT,0.35
2021-12-15,QNT,0.3
2022-03-15,QNT,0.29
2022-06-15,QNT,0.4
2022-09-15,QNT,0.36
2022-12-15,QNT,0.44
2023-03-15,QNT,0.49
2023-06-15,QNT,0.58
2023-09-15,QNT,0.66
2023-12-15,QNT,0.74
2024-03-15,QNT,0.74
2024-06-17,QNT,0.77
2024-09-16,QNT,0.83
2024-12-16,QNT,0.92
2025-03-17,QNT,1.23
2025-06-16,QNT,1.65
2025-09-15,QNT,1.5
2025-12-15,QNT,1.8
2021-03-15,CLC,0.64
2021-06-15,CLC,0.81
2021-09-15,CLC,0.91
2021-12-15,CLC,1.1
2022-03-15,CLC,1.27
2022-06-15,CLC,1.77
2022-09-15,CLC,2.1
2022-12-15,CLC,2.71
