date,ticker,close_price
2021-01-01,ADS,310.0
2021-01-04,ADS,300.95
2021-01-05,ADS,307.25
2021-01-06,ADS,306.31
2021-01-07,ADS,303.99
2021-01-08,ADS,303.49
2021-01-11,ADS,306.17
2021-01-12,ADS,314.36
2021-01-13,ADS,310.49
2021-01-14,ADS,311.67
2021-01-15,ADS,320.04
2021-01-18,ADS,320.12
2021-01-19,ADS,316.99
2021-01-20,ADS,318.81
2021-01-21,ADS,320.94
2021-01-22,ADS,313.26
2021-01-25,ADS,316.51
2021-01-26,ADS,307.86
2021-01-27,ADS,315.99
2021-01-28,ADS,317.68
2021-01-29,ADS,326.5
2021-02-01,ADS,328.73
2021-02-02,ADS,330.73
2021-02-03,ADS,325.99
2021-02-04,ADS,326.25
2021-02-05,ADS,325.87
2021-02-08,ADS,332.11
2021-02-09,ADS,328.29
2021-02-10,ADS,339.8
2021-02-11,ADS,347.66
2021-02-12,ADS,352.79
2021-02-15,ADS,362.3
2021-02-16,ADS,357.38
2021-02-17,ADS,356.89
2021-02-18,ADS,353.78
2021-02-19,ADS,366.62
2021-02-22,ADS,357.51
2021-02-23,ADS,348.44
2021-02-24,ADS,343.62
2021-02-25,ADS,351.95
2021-02-26,ADS,358.54
2021-03-01,ADS,362.24
2021-03-02,ADS,366.24
2021-03-03,ADS,366.13
2021-03-04,ADS,369.51
2021-03-05,ADS,379.29
2021-03-08,ADS,380.58
2021-03-09,ADS,377.65
2021-03-10,ADS,381.7
2021-03-11,ADS,386.51
2021-03-12,ADS,389.44
2021-03-15,ADS,397.62
2021-03-16,ADS,392.19
2021-03-17,ADS,391.95
2021-03-18,ADS,392.73
2021-03-19,ADS,392.61
2021-03-22,ADS,401.1
2021-03-23,ADS,408.73
2021-03-24,ADS,403.49
2021-03-25,ADS,410.44
2021-03-26,ADS,411.27
2021-03-29,ADS,415.41
2021-03-30,ADS,419.84
2021-03-31,ADS,413.86
2021-04-01,ADS,402.48
2021-04-02,ADS,413.37
2021-04-05,ADS,414.23
2021-04-06,ADS,413.52
2021-04-07,ADS,420.99
2021-04-08,ADS,431.49
2021-04-09,ADS,436.49
2021-04-12,ADS,439.41
2021-04-13,ADS,431.52
2021-04-14,ADS,428.89
2021-04-15,ADS,415.31
2021-04-16,ADS,422.63
2021-04-19,ADS,429.22
2021-04-20,ADS,435.56
2021-04-21,ADS,442.03
2021-04-22,ADS,440.24
2021-04-23,ADS,437.31
2021-04-26,ADS,430.36
2021-04-27,ADS,429.34
2021-04-28,ADS,421.71
2021-04-29,ADS,429.2
2021-04-30,ADS,422.47
2021-05-03,ADS,419.66
2021-05-04,ADS,409.39
2021-05-05,ADS,412.61
2021-05-06,ADS,414.61
2021-05-07,ADS,413.66
2021-05-10,ADS,409.33
2021-05-11,ADS,408.74
2021-05-12,ADS,405.49
2021-05-13,ADS,400.23
2021-05-14,ADS,406.64
2021-05-17,ADS,404.66
2021-05-18,ADS,404.83
2021-05-19,ADS,403.52
2021-05-20,ADS,396.25
2021-05-21,ADS,394.93
2021-05-24,ADS,414.29
2021-05-25,ADS,411.95
2021-05-26,ADS,417.17
2021-05-27,ADS,409.61
2021-05-28,ADS,393.64
2021-05-31,ADS,386.44
2021-06-01,ADS,400.64
2021-06-02,ADS,405.99
2021-06-03,ADS,411.46
2021-06-04,ADS,411.95
2021-06-07,ADS,398.65
2021-06-08,ADS,392.24
2021-06-09,ADS,391.12
2021-06-10,ADS,393.58
2021-06-11,ADS,392.27
2021-06-14,ADS,390.13
2021-06-15,ADS,395.7
2021-06-16,ADS,398.18
2021-06-17,ADS,400.42
2021-06-18,ADS,398.88
2021-06-21,ADS,397.03
2021-06-22,ADS,393.48
2021-06-23,ADS,395.97
2021-06-24,ADS,410.15
2021-06-25,ADS,418.73
2021-06-28,ADS,429.82
