ticker,starting_price,annual_drift,beta,annual_volatility
NVT,425,0.12,1.25,0.28
ADS,310,0.11,1.2,0.26
QNT,180,0.13,1.3,0.32
CLC,245,0.10,1.15,0.25
SMC,365,0.09,1.1,0.24
VRT,155,0.11,1.2,0.27
PNC,220,0.08,1.1,0.22
UFG,185,0.07,1.05,0.20
NCB,140,0.07,1.0,0.19
HBR,115,0.06,0.95,0.18
STG,275,0.10,1.2,0.27
CNL,165,0.08,1.1,0.24
DMW,95,0.09,1.15,0.26
MDS,290,0.09,0.9,0.18
BLM,210,0.10,0.95,0.21
PHR,145,0.08,0.85,0.17
RTA,240,0.09,1.15,0.25
MTR,195,0.10,1.2,0.28
LUX,125,0.08,1.05,0.23
GEC,215,0.08,1.0,0.20
ATL,165,0.07,1.05,0.21
MFG,130,0.07,1.0,0.19
RNL,105,0.08,1.1,0.22
GFD,135,0.06,0.75,0.14
HGP,110,0.06,0.8,0.15
PEO,125,0.08,1.15,0.30
SOL,90,0.07,1.2,0.32
UTL,85,0.05,0.65,0.13
AMT,115,0.07,1.05,0.23
PRP,95,0.06,0.9,0.20
